Property URL,Title,Type,Price,Address,Description,Property Size,Land Area,Bedrooms,Bathrooms,Garages,Property Type,Property Status,Floor,Furnished
https://www.realethio.com/property/kality-gebriel-g2-seven-bedrooms-house-for-sale-addis-ababa/,"Kality Gebriel, G+2 Seven bedrooms House for Sale, Addis Ababa.",For Sale,"35,000,000ETB","Kality, Debre Zeit Road, Saris Abo Area, Akaki Kaliti, Addis Ababa, 0006, Ethiopia","Kality Gebriel, G+2 Seven bedrooms House for Sale, Addis Ababa.
The house is located in a safe residential area and with a plot size of 200 square meters and the house is built on 150 square meters.
It has living and dinning room, seven bedrooms , four bath rooms and the master bedroom having its own bathroom.
The compound has  parking for two cars.
The price is 35 million birr and negotiable.",150 m²,200 m²,7,4,2,House for sale,For Sale,3,no
https://www.realethio.com/property/saris-addis-sefer-4-bed-room-house-for-sale-addis-ababa/,"Saris Addis Sefer, 4 bed room House for Sale, Addis Ababa.",For Sale,"60,000,000ETB","Saris, Debre Zeit Road, Saris, Akaki Kaliti, Addis Ababa, 0006, Ethiopia","Saris Addis Sefer, 4 bed room House for Sale, Addis Ababa.
The houses has 227 square meters in area.
The main house has living and dining room, two bedrooms, one kitchen, one bathroom, the service quarter having  living and dining room, two bedrooms, kitchen and shower room.
The front of the house has a shop.
The price is 60 million birr and negotiable.",227 m²,227 m²,4,2,,House for sale,For Sale,Ground Floor,no
https://www.realethio.com/property/cmc-land-for-sale-addis-ababa/,"CMC, Land for Sale, Addis Ababa.",For Sale,"65,000,000ETB","CMC, Bole, Addis Ababa, Ethiopia","CMC, Land for Sale, Addis Ababa.
The house has 509 square meters.
It is at corner with two road sides which makes it suitable for real estate development.
The price is 65 million birr and negotiable.",509 m²,509 m²,,,,Land for sale,For Sale,Ground Floor,no
https://www.realethio.com/property/gerji-or-imperial-two-bedrooms-condominium-apartment-for-sale-addis-ababa/,"Gerji or Imperial, Two bedrooms Condominium Apartment for Sale, Addis Ababa.",For Sale,"9,500,000ETB","Gerji, Bole, Addis Ababa, 2310, Ethiopia","Gerji or Imperial , Two bedrooms Condominium Apartment for Sale, Addis Ababa.
The condominium is located on the fourth floor with 69 meter Square.
It has living and dining room, closed kitchen, and two bedrooms with common shower room.
The price is 9.5 million Birr and fixed.",69 m²,69 m²,2,1,,Apartment for sale,For Sale,4,no
https://www.realethio.com/property/kera-bulgaria-two-bedroom-apartment-for-sale-addis-ababa/,"Kera Bulgaria, Two Bedroom Apartment for Sale, Addis Ababa.",For Sale,"17,000,000ETB","Total (Bulgaria), Beyene Merid Street, Kirkos, Addis Ababa, 9752, Ethiopia","Kera Bulgaria, Two Bedroom Apartment for Sale, Addis Ababa.
The apartment is located in safe residential building.
It is on the 13th floor.
It has living and dining room with balcony, closed kitchen, master bedroom with it’s own bathroom and another bedroom with common shower room.
The apartment has elevator, generator, common terrace, and parking for one car.
The rate is 17 million birr and fixed.",111.7 m²,111.7 m²,2,2,1,Apartment for sale,For Sale,13,no
https://www.realethio.com/property/jemo-g4-four-bedroom-house-for-sale-addis-ababa/,"Jemo, G+4 Four bedroom House for Sale, Addis Ababa.",For Sale,"35,000,000ETB","Jemo, Nefas Silk, Addis Ababa, 0006, Ethiopia","Jemo, G+4  Four bedroom House for Sale, Addis Ababa.
The house is located in safe residential gated compound and with plot size of 105 square meters.
On the ground floor it has family room, open kitchen, store, one bedroom or maid room, and guest toilet.
The first floor has living and dining room with balcony and guest toilet.
The second floor has master bedroom with walk-in closet, balcony and full bathroom.
Third floor has two bedrooms with common shower room, and one bedroom with its own shower room.
Forth floor has an office, store, shower room, laundry corner and terrace.
The compound has parking for 1 cars, and central hot water heater.
The rate is 35 million birr or 350,000 USD and negotiable.",105 m²,105 m²,4,3,1,House for sale,For Sale,5,no
https://www.realethio.com/property/haile-garment-land-for-sale-addis-ababa/,"Haile Garment, Land for Sale, Addis Ababa.",For Sale,"250,000,000ETB","Haile Garment Square, Hana, Nefas Silk, Addis Ababa, 0006, Ethiopia","Haile Garment, Land for Sale, Addis Ababa.
The land has an area of 2,000 square meters, and has 4 ownership titles and will be sold together.
The land is near to the main road and is suitable for real estate development.
The price is 250 million birr and negotiable.",2000 m²,2000 m²,,,,Land for sale,For Sale,,no
https://www.realethio.com/property/legetafo-500-meter-square-land-for-sale-sheger-city-oromia/,"Legetafo, 500 meter square land for sale, Sheger City, Oromia.",For Sale,"7,500,000ETB","ለገ ጣፎ, North Shewa (Oromia Region), ኦሮሚያ ክልል / Oromia, ኢትዮጵያ","Legetafo, 500 meter square land for sale, Sheger City, Oromia.
The land has 500 square meters.
The price is 7.5 million birr and negotiable.",500 m²,500 m²,,,,Land for sale,For Sale,,no
https://www.realethio.com/property/cmc-2-bedrooms-apartment-for-sale-addis-ababa-2/,"CMC, 2 bedrooms Apartment for sale, Addis Ababa.",For Sale,"19,000,000ETB","CMC, Bole, Addis Ababa, Ethiopia","CMC Tsehay Real Estate, 2 bedrooms Apartment for sale, Addis Ababa.
The apartment has net area of 96 meter square and gross area of 114.11 square meters and it is on safe residential building and on 10th floor.
It has living and dining room with balcony and open kitchen, master bedroom with it’s own shower room, another bedroom with common shower room, maid room, and parking for one car.
The building comes with elevator, garden, and kids play ground.
The price is 19 million and negotiable.",96.1 m²,114.11 m²,2,2,1,Apartment for sale,For Sale,10,no
https://www.realethio.com/property/house-for-sale-addis-ababa-kirkos-leghar-four-bedrooms-villa-house-for-sale-addis-ababa-ethiopia/,"Kirkos or Leghar, four bedrooms villa house for sale, Addis Ababa, Ethiopia",For Sale,"15,000,000ETB","Legehar, Ras Mekonnen Avenue, Legahar, Addis Ababa, Kirkos, Addis Ababa, 1138, Ethiopia","Kirkos or Leghar, four bedrooms villa house for sale, Addis Ababa, Ethiopia.
The house will be on 20 meters main road, and the total area is now 289 meter square and it will be around 200 meter square once the road is made.
Lease is fully paid for half of the space which is around 140 meter square.
The house has living and dinning room, kitchen, master bedroom with it’s own bathroom, three bedrooms with one common shower room, maid’s room with shower room, store and parking for two cars.
The price is 15 million and slightly negotiable.",200 m²,289 m²,4,2,,House for sale,For Sale,1,no
https://www.realethio.com/property/bole-michael-three-bedrooms-g1-house-for-sale-addis-ababa/,"Bole Michael, Three bedrooms G+1 House for Sale, Addis Ababa.",For Sale,"39,000,000ETB","Bole St. Michael church, Ring Road, Bole Mikael, Bole, Addis Ababa, 1044, Ethiopia","Bole Michael, Three bedrooms G+1 House for Sale, Addis Ababa.
The house is located in a safe residential compound, and it is on 167 meter square plot.
The ground floor has living and dining area and closed kitchen.
The first floor has master bedroom with balcony and  bathroom, and two bedrooms with common shower room.
The service quarter has 3 rooms and shower room.
The compound has small garden and parking for four cars.
The price is 39 million birr and negotiable.",167 m²,167 m²,3,2,4,House for sale,For Sale,2,no
https://www.realethio.com/property/summit-building-for-sale-on-500-meter-square-plot-addis-ababa/,"Summit, Building for sale on 500 meter square plot, Addis Ababa.",For Sale,"90,000,000ETB","POLY-GCL Addis Ababa Apartment, Summit - Goro road, Yeka Bole Bota, Bole, Addis Ababa, 5648, Ethiopia","Summit 72, Building under construction for sale on 500 meter square plot, Addis Ababa.
The building is located in a residential area and it is under construction and will be sold as it is.
It has two stair cases and two elevator spaces, and the ground can be used as parking area or common area.
Starting from the first floor to the third floor the building has two apartments per floor, which each have living and dining with small balcony, open kitchen, another closed kitchen, maid room or storage  room, master bedroom with it’s own balcony and bathroom, and two bedrooms with common shower room and one of the bedrooms having a balcony.
There is a penthouse on the forth and fifth floors on one side of the building. The penthouse has living and dining with open kitchen, another closed kitchen, an office, maid room with shower, and guest toilet on the ground floor and three bedrooms with their own shower room on the first floor.
The price is 90 million birr and negotiable.",500 m²,500 m²,28,30,12,Building for sale,For Sale,6,no
https://www.realethio.com/property/mekanisa-two-bedroom-apartment-for-sale-addis-ababa/,"Mekanisa, Two Bedroom Apartment for Sale, Addis Ababa.",For Sale,"15,500,000ETB","Mekanisa, Nefas Silk, Addis Ababa, 2506, Ethiopia","Mekanisa, Two Bedroom Apartment for Sale, Addis Ababa.
The apartment is located on the 16th floor and has an are of 120 square meters.
It has living and dining area with balcony, closed kitchen with balcony, master bedroom with it’s own bathroom and balcony, another bedrooms with common shower room and maids room with toilet.
The apartment has elevator, generator and parking for one car.
The price is 15.5 million birr and fixed.",120 m²,120 m²,2,2,1,Apartment for sale,For Sale,16,no
https://www.realethio.com/property/megenagna-yeka-mikael-house-for-sale-addis-ababa/,"Megenagna Yeka Mikael, House for Sale , Addis Ababa.",For Sale,"18,000,000ETB","Yeka Mikael, Fikre Mariam Aba Techan Street, Yeka, Addis Ababa, 2310, Ethiopia","Megenagna Yeka Mikael, House for Sale , Addis Ababa.
The main house has living and dining room and two bedrooms.
There is closed kitchen, two service rooms, store room and common shower room in the compound of the house.
The price is 18 million birr and negotiable.",170 m²,170 m²,2,1,1,House for sale,For Sale,Ground Floor,no
https://www.realethio.com/property/house-for-sale-addis-ababa-kebena-4-bed-rooms-two-houses-for-sale-addis-ababa/,"Kebena, 4 bed rooms, two houses for sale, Addis Ababa.",For Sale,"120,000,000ETB","Kebena, Arada, Addis Ababa, 0000, Ethiopia","Kebena near British embassy, 4 bed rooms, two houses for sale, Addis Ababa.
The houses are located in both residential and commercial area and each house has 2 bed rooms, living room, and kitchen, and the compound can park 5 cars.
The price is 120 million birr and negotiable.
Note: the space is one house away from the main road it is suitable for building mixed use building.",879 m²,879 m²,4,,,House for sale,For Sale,1,no
https://www.realethio.com/property/burayu-fili-doro-house-for-sale-oromia/,"Burayu Fili Doro, House for Sale, Oromia.",For Sale,"8,000,000ETB","ፊሊዶሮ, New Ambo Road, Kolfe Keranio, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 9837, ኢትዮጵያ Ethiopia","Burayu Fili Doro, House for Sale, Oromia.
The house is located in a safe residential area and with a plot size of 140 square meters.
The compound has  parking for one cars.
The price is 8 million birr and negotiable.
Note: There is another house next to it with 140 square meters area, will be sold for 16 million birr, can be sold as it is together and the price for both is negotiable.",140 m²,140 m²,,,1,House for sale,For Sale,Ground Floor,no
https://www.realethio.com/property/burayu-fili-doro-g1-four-bedrooms-house-for-sale-oromia/,"Burayu Fili Doro, G+1 Four bedrooms House for Sale, Oromia.",For Sale,"16,000,000ETB","ፊሊዶሮ, New Ambo Road, Kolfe Keranio, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 9837, ኢትዮጵያ Ethiopia","Burayu Fili Doro, G+1 Four bedrooms House for Sale, Oromia.
The house is located in a safe residential area and with a plot size of 140 square meters.
On the ground floor, it has living and dining area, open kitchen and closed kitchen, guest bedroom, maids room and shower room.
The first floor has master bedroom with  it’s own  jacuzzi bathroom and  three bedrooms with common shower room.
The compound has  parking for two cars.
The price is 16 million birr and negotiable.
Note: There is another house next to it with 140 square meters area, will be sold for 8 million birr, can be sold as it is together and the price is negotiable.",140 m²,140 m²,4,3,1,House for sale,For Sale,2,no
https://www.realethio.com/property/ayat-zone-1-three-bedrooms-g1-house-for-sale-addis-ababa/,"Ayat zone 1, Three bedrooms G+1 House for Sale, Addis Ababa.",For Sale,"35,000,000ETB","Ayat zone 1, Yeka, አዲስ አበባ / Addis Ababa, አዲስ አበባ, ኢትዮጵያ Ethiopia","Ayat zone 1, Three bedrooms G+1 House for Sale, Addis Ababa.
The house is located in a safe residential compound, and it is on 290 meter square plot.
The ground floor has living and dining area, closed kitchen and guest toilet.
The first floor has master bedroom with  shower room, and two bedrooms with common shower room.
The service quarter has 2 rooms and shower room.
The compound has garden, garage for one car and parking for two cars.
The price is 35 million birr and negotiable.",290 m²,290 m²,3,3,3,House for sale,For Sale,2,no
https://www.realethio.com/property/sarbet-house-or-land-for-sale-addis-ababa/,"Sarbet, House or Land for Sale, Addis Ababa.",For Sale,"110,000,000ETB","Sarbet, Nefas Silk, Addis Ababa, 7777, Ethiopia","Sarbet, House or Land for Sale, Addis Ababa.
The house has a total area of 430 square meters but it is 400 square meters on the property deed.
The house has all proper documents, on the main road and is suitable for real estate development.
The main house has living and dining room, kitchen, two bedrooms and bathroom.
There are five service quarter rooms and a shop that is currently on rent.
The compound has green area and parking for 3 three cars.
The price is 110 million birr and negotiable.",400 m²,430 m²,2,1,3,House for sale,For Sale,Ground Floor,no
https://www.realethio.com/property/legetafo-land-or-house-for-sale-oromia/,"Legetafo, Land or house for Sale, Oromia.",For Sale,"9,000,000ETB","ለገ ጣፎ, North Shewa (Oromia Region), ኦሮሚያ ክልል / Oromia, ኢትዮጵያ Ethiopia","Legetafo, Land or house for Sale, Oromia.
The house has an area of 140 square meters and has the ground and first floor structure finished.
The foundation is made for ground plus two.
It is only 400 meters away from the main road.
The price is 9 million birr and negotiable.",140 m²,140 m²,,,,"House for sale, Land for sale",For Sale,2,no
https://www.realethio.com/property/meskel-square-2-bedrooms-apartment-for-sale-addis-ababa/,"Meskel Square, 2 bedrooms apartment for sale, Addis Ababa.",For Sale,"28,000,000ETB","Meskel Square, Meshuwalekiya, Addis Ababa, Ethiopia","Meskel Square, 2 bedrooms apartment for sale, Addis Ababa
The apartment is 86 meter square and itnis located on safe building.
It has living and dinning room, open kitchen, master bedroom with it’s own bathroom, another bedroom with common shower room, and garage for one car.
The building has two elevators, and automatic generator.
The price is 28 million birr and negotiable.",86 m²,86 m²,2,2,1,Apartment for sale,For Sale,6,no
https://www.realethio.com/property/kotebe-kara-1122-meter-square-house-for-sale-on-main-road-addis-ababa/,"Kotebe Kara, 1122 meter square, House for Sale on Main Road, Addis Ababa.",For Sale,"80,000,000ETB","Kotebe University College, Fikre Mariam Aba Techan Street, ኮተቤ, Yeka, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 4343, ኢትዮጵያ Ethiopia","Kotebe Kara, 1122 meter square, House for Sale on Main Road, Addis Ababa.
The house is located on main road and it is suitable for demolishing and building commercial high rise building.
It has  five shops on the front of the house that are on rental right now and has an income of 60,000 birr per month, the back has a two bedroom villa house with living and dining room, kitchen and two shower rooms and eight service rooms, garden, and parking for 7 cars.
The price is 80 million birr and negotiable.",1122 m²,1122 m²,10,2,,House for sale,For Sale,Ground Floor,no
https://www.realethio.com/property/kebena-house-or-land-for-sale-addis-ababa/,"Kebena, House or Land for Sale, Addis Ababa.",For Sale,"40,000,000ETB","Kebena, Addis Ababa, Arada, Addis Ababa, 0000, Ethiopia","Kebena, House or Land for Sale, Addis Ababa.
The house has a total area of 375 square meters but it is 202 square meters on the property deed.
The house has all proper documents.
The price is 40 million birr and negotiable.",375 m²,375 m²,,,,"House for sale, Land for sale",For Sale,Ground Floor,no
https://www.realethio.com/property/house-for-sale-addis-ababa-house-for-sale-gurdshola-7-bed-rooms-350-meter-square-on-main-road-addis-ababa/,"Gurdshola, 7 bedrooms house for sale on main road, Addis Ababa.",For Sale,"67,000,000ETB","Gurd-shola, Mann St, Yeka, Addis Ababa, 5648, Ethiopia","House for sale, Gurdshola, 7 bed rooms, 350 meter square, on main road, Addis Ababa.
The house is located on a commercial main road and it has living and dinning room, open kitchen, two guest toilets, closed big kitchen, master bed room with it’s own walk-in closet and Jacuzzi steam bathroom, 4 bed rooms with their own shower rooms, two bed rooms with a common shower room, terrace, three service rooms with shower, small garden, garage for two and parking for one.
The price is 67 million birr and negotiable.",350 m²,350 m²,7,,,"Building for sale, House for sale",For Sale,3,no
https://www.realethio.com/property/merkato-teklehaymanot-basementg2-building-for-sale-addis-ababa/,"Merkato Teklehaymanot, Basement+G+2 Building for Sale, Addis Ababa.",For Sale,"30,000,000ETB","Tekelehaymanot, Tesema Aba Kemaw Street, ጎላ ሚካኤል አካባቢ, በርበሬ ተራ, Lideta, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 1910, ኢትዮጵያ","Merkato Teklehaymanot, Basement+G+2 Building for Sale, Addis Ababa.
The building is located very close to the main road.
The basement is rented for storage.
The ground floor has Three stores, the first floor as a whole is rented a game zone and the second floor has five office rooms, and the whole building has two restrooms on each floor for men and women.
The price is 30 million birr and fixed.
Note: The building earns a monthly rental income of 160,000 Birr per month currently.",190 m²,190 m²,,6,,"Building for sale, Office for sale",For Sale,4,no
https://www.realethio.com/property/ayat-zone-5-three-bedrooms-g1-house-for-sale-addis-ababa/,"Ayat zone 5, Three bedrooms G+1 House for Sale, Addis Ababa.",For Sale,"45,000,000ETB","Ayat zone 5, Bole, አዲስ አበባ / Addis Ababa, አዲስ አበባ, ኢትዮጵያ","Ayat zone 5, Three bedrooms G+1 House for Sale, Addis Ababa.
The house is located in a safe residential compound, and it is on 293 meter square plot.
The ground floor has living and dining area, closed kitchen, guest toilet, and office.
The first floor has master bedroom with balcony and bathroom, and two bedrooms with common shower room.
The service quarter has 4 rooms and shower room.
The compound has garden and parking for four cars.
The price is 45 million birr  or 390,000 British Pounds payable in British Pounds and negotiable.",293 m²,293 m²,3,2,4,House for sale,For Sale,2,no
https://www.realethio.com/property/lafto-or-hana-mariyam-store-or-warehouse-or-land-for-sale-addis-ababa/,"Lafto or Hana Mariyam,  Store or Warehouse or Land for Sale, Addis Ababa.",For Sale,"85,000,000ETB","Ahadu Bank Hana Mariam Branch, Ring Road, ሐና, Nefas Silk, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 0006, ኢትዮጵያ","Lafto or Hana Mariyam,  Store or Warehouse or Land for Sale, Addis Ababa.
The ware house has an area of 1,270 square meters.
The compound has a three phase and a single phase power supplies.
It is currently rented as a garage and suitable for real estate development.
It will be on main asphalt road according to the master plan.
The price is 85 million birr and slightly negotiable.",1270 m²,1270 m²,,,,"Land for sale, Store for sale",For Sale,Ground Floor,no
https://www.realethio.com/property/sendafa-store-for-sale-oromia/,"Sendafa, Store for Sale, Oromia.",For Sale,"60,000,000ETB","Sendafa, North Shewa (Oromia Region), Oromia Region, Ethiopia","Sendafa, Store for Sale, Oromia.
The store has an area of 1,400 square meters and is built on 5,000 square meters of land.
It has six office and two rest rooms, is close to the main road and being rented for 160,000 birr per month.
The price is 60 million birr plus VAT and negotiable.",1400 m²,5000 m²,,,,Store for sale,For Sale,Ground Floor,no
https://www.realethio.com/property/house-for-sale-dukem-g1-house-for-sale-oromia/,"Dukem, G+1 house for sale, Oromia.",For Sale,"12,000,000ETB","ዱክም, ዱከም / Dukem, East Shewa, ኦሮሚያ ክልል / Oromia, ኢትዮጵያ","Dukem, G+1 house for sale, Addis Ababa.
On the ground floor the house has a living and dinning room, closed kitchen, store, one bedrooms with it’s own bathroom and guest toilet; On the first floor there are two bedrooms having their own bathrooms, one having it’s own shower and a small kitchen; On the back of the house it has a mud house, one shop facing the road, parking space for two cars and garden.
The price is 12 million birr and negotiable.",400 m²,400 m²,4,,,House for sale,For Sale,2,no
https://www.realethio.com/property/ayat-three-bedrooms-g1-house-for-sale-addis-ababa/,"Ayat, Three bedrooms G+1 House for Sale, Addis Ababa.",For Sale,"27,000,000ETB","Ayat zone 5, Bole, አዲስ አበባ / Addis Ababa, አዲስ አበባ, ኢትዮጵያ","Ayat, Three bedrooms G+1 House for Sale, Addis Ababa.
The house is located in a safe residential compound, and it is on 200 meter square plot.
The ground floor has living and dining area, closed kitchen, guest toilet, maids room and shower room.
The first floor has master bedroom with shower room and two bedrooms with common shower room.
The compound has parking for 1 car.
The price is 27 million birr and negotiable.",200 m²,200 m²,3,2,1,House for sale,For Sale,2,no
https://www.realethio.com/property/urael-two-bedrooms-apartment-for-sale-addis-ababa/,"Urael, two bedrooms apartment for sale, Addis Ababa.",For Sale,"13,000,000ETB","ኡራኤል Urael, Bole, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 2332, ኢትዮጵያ","Urael, two bedrooms apartment for sale, Addis Ababa.
The flat is located in a residential building and it has living and dinning room, kitchen, two bedrooms with common shower room, and parking for one car.
The price 13 million birr and negotiable.",73.5 m²,73.5 m²,2,1,1,Apartment for sale,For Sale,7,no
https://www.realethio.com/property/bole-bulbula-g2-four-bedrooms-house-for-sale-addis-ababa/,"Bole Bulbula, G+2 Four bedrooms House for Sale, Addis Ababa.",For Sale,"40,000,000ETB","Bole Bulbula st. George Church, Balcha Street, Bole Mikael, Bole, Addis Ababa, 1044, Ethiopia","Bole Bulbula, G+2 Four bedrooms House for Sale, Addis Ababa.
The house is located in a safe residential area and with a plot size of 308 square meters and the house is built on 160 square meters.
It has living and dinning rooms, four bedrooms , five bath rooms, a maids room laundry area and terrace.
It has two sides on of the road on two sides of the house.
The compound has  parking for two cars.
The price is 40 million birr and negotiable.",160 m²,308 m²,4,5,2,House for sale,For Sale,3,no
